"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017-11-28","43.27","43.58","43.72","42.97","105.72M","-0.57%"
"2017-11-27","43.52","43.76","43.77","43.34","82.87M","-0.50%"
"2017-11-24","43.74","43.77","43.88","43.66","56.11M","0.00%"
"2017-11-22","43.74","43.34","43.75","43.26","102.36M","1.06%"
"2017-11-21","43.28","42.70","43.42","42.70","100.53M","1.86%"
"2017-11-20","42.49","42.57","42.64","42.39","65.05M","-0.12%"
"2017-11-17","42.54","42.76","42.85","42.41","87.60M","-0.54%"
"2017-11-16","42.77","42.80","42.97","42.58","94.55M","1.18%"
"2017-11-15","42.27","42.49","42.58","42.09","116.63M","-1.33%"
"2017-11-14","42.84","43.26","43.37","42.80","99.13M","-1.49%"
"2017-11-13","43.49","43.38","43.62","43.35","67.93M","-0.41%"
"2017-11-10","43.67","43.78","43.84","43.57","100.58M","-0.68%"
"2017-11-9","43.97","43.78","44.02","43.28","117.93M","-0.20%"
"2017-11-8","44.06","43.66","44.06","43.58","97.64M","0.82%"
"2017-11-7","43.70","43.48","43.81","43.40","97.45M","0.32%"
"2017-11-6","43.56","43.09","43.75","42.93","140.11M","1.02%"
"2017-11-3","43.12","43.50","43.56","42.78","237.59M","2.59%"
"2017-11-2","42.03","41.91","42.12","41.32","165.57M","0.74%"
"2017-11-1","41.72","42.47","42.48","41.40","134.55M","-1.28%"
"2017-10-31","42.26","41.98","42.41","41.73","144.19M","1.39%"
"2017-10-30","41.68","40.97","42.02","40.93","178.80M","2.26%"
"2017-10-27","40.76","39.82","40.90","39.67","177.82M","3.58%"
"2017-10-26","39.35","39.31","39.46","39.20","68.00M","0.64%"
"2017-10-25","39.10","39.23","39.39","38.82","84.83M","-0.43%"
"2017-10-24","39.27","39.07","39.35","39.05","71.03M","0.59%"
"2017-10-23","39.04","39.22","39.42","38.88","87.94M","-0.05%"
"2017-10-20","39.06","39.15","39.44","38.99","95.90M","0.18%"
"2017-10-19","38.99","39.19","39.27","38.76","170.34M","-2.38%"
"2017-10-18","39.94","40.10","40.18","39.90","65.50M","-0.45%"
"2017-10-17","40.12","39.95","40.22","39.81","75.99M","0.38%"
"2017-10-16","39.97","39.48","40.00","39.41","96.49M","1.83%"
"2017-10-13","39.25","39.18","39.32","39.10","65.58M","0.64%"
"2017-10-12","39.00","39.09","39.34","38.93","64.50M","-0.36%"
"2017-10-11","39.14","38.99","39.24","38.94","67.62M","0.41%"
"2017-10-10","38.98","39.01","39.50","38.77","62.47M","0.05%"
"2017-10-9","38.96","38.95","39.18","38.87","65.05M","0.33%"
"2017-10-6","38.83","38.74","38.87","38.64","69.63M","-0.05%"
"2017-10-5","38.85","38.55","38.86","38.51","85.14M","1.25%"
"2017-10-4","38.37","38.41","38.47","38.12","80.66M","-0.65%"
"2017-10-3","38.62","38.50","38.77","38.48","64.92M","0.44%"
"2017-10-2","38.45","38.56","38.61","38.18","74.80M","-0.21%"
"2017-9-29","38.53","38.30","38.53","38.00","105.20M","0.55%"
"2017-9-28","38.32","38.47","38.57","38.17","88.02M","-0.62%"
"2017-9-27","38.56","38.45","38.68","38.38","102.02M","0.73%"
"2017-9-26","38.28","37.95","38.48","37.92","146.64M","1.70%"
"2017-9-25","37.64","37.50","37.96","37.29","177.55M","-0.87%"
"2017-9-22","37.97","38.01","38.07","37.64","186.58M","-0.99%"
"2017-9-21","38.35","38.95","38.95","38.19","150.05M","-1.72%"
"2017-9-20","39.02","39.48","39.56","38.46","211.81M","-1.66%"
"2017-9-19","39.68","39.88","39.94","39.61","83.24M","0.03%"
"2017-9-18","39.67","40.03","40.12","39.50","113.08M","-0.75%"
"2017-9-15","39.97","39.62","40.24","39.50","196.46M","1.01%"
"2017-9-14","39.57","39.75","39.85","39.52","95.04M","-0.85%"
"2017-9-13","39.91","39.97","39.99","39.48","179.63M","-0.77%"
"2017-9-12","40.22","40.65","40.99","39.69","286.86M","-0.40%"
"2017-9-11","40.38","40.12","40.51","39.97","126.32M","1.82%"
"2017-9-8","39.66","40.22","40.29","39.63","114.45M","-1.61%"
"2017-9-7","40.31","40.52","40.56","40.09","87.71M","-0.42%"
"2017-9-6","40.48","40.68","40.75","40.13","86.61M","-0.10%"
"2017-9-5","40.52","40.94","41.06","40.14","118.15M","-1.19%"
"2017-9-1","41.01","41.20","41.23","40.91","66.36M","0.02%"
"2017-8-31","41.00","40.91","41.13","40.87","107.14M","0.39%"
"2017-8-30","40.84","40.95","40.97","40.65","109.08M","0.27%"
"2017-8-29","40.73","40.02","40.78","40.00","118.07M","0.89%"
"2017-8-28","40.37","40.03","40.50","39.98","103.86M","1.00%"
"2017-8-25","39.97","39.91","40.14","39.82","101.92M","0.38%"
"2017-8-24","39.82","40.11","40.19","39.64","79.28M","-0.43%"
"2017-8-23","39.99","39.77","40.12","39.72","77.60M","0.10%"
"2017-8-22","39.95","39.56","40.00","39.51","86.42M","1.65%"
"2017-8-21","39.30","39.38","39.47","38.78","105.47M","-0.20%"
"2017-8-18","39.38","39.47","39.88","39.18","109.71M","-0.23%"
"2017-8-17","39.47","40.13","40.18","39.46","111.76M","-1.91%"
"2017-8-16","40.24","40.48","40.63","40.04","110.69M","-0.40%"
"2017-8-15","40.40","40.16","40.55","40.03","117.86M","1.10%"
"2017-8-14","39.96","39.83","40.05","39.69","88.49M","1.50%"
"2017-8-11","39.37","39.15","39.64","39.02","105.03M","1.39%"
"2017-8-10","38.83","39.98","40.00","38.66","163.22M","-3.58%"
"2017-8-9","40.27","39.81","40.32","39.78","104.53M","0.62%"
"2017-8-8","40.02","39.65","40.46","39.57","144.82M","0.81%"
"2017-8-7","39.70","39.27","39.73","39.17","87.48M","1.53%"
"2017-8-4","39.10","39.02","39.35","38.92","82.24M","0.54%"
"2017-8-3","38.89","39.26","39.30","38.76","108.39M","-0.99%"
"2017-8-2","39.28","39.82","39.94","39.04","279.75M","4.72%"
"2017-8-1","37.51","37.27","37.55","37.10","141.47M","0.89%"
"2017-7-31","37.18","37.48","37.58","37.03","79.38M","-0.54%"
"2017-7-28","37.38","37.47","37.56","37.30","68.85M","-0.69%"
"2017-7-27","37.64","38.44","38.50","36.83","129.91M","-1.90%"
"2017-7-26","38.37","38.34","38.48","38.27","63.12M","0.47%"
"2017-7-25","38.19","37.95","38.46","37.95","75.42M","0.45%"
"2017-7-24","38.02","37.65","38.11","37.48","85.97M","1.20%"
"2017-7-21","37.57","37.50","37.61","37.22","105.01M","-0.05%"
"2017-7-20","37.59","37.88","37.94","37.55","68.97M","-0.45%"
"2017-7-19","37.76","37.62","37.85","37.49","83.69M","0.64%"
"2017-7-18","37.52","37.30","37.53","37.17","71.48M","0.35%"
"2017-7-17","37.39","37.20","37.73","37.14","95.17M","0.35%"
"2017-7-14","37.26","36.99","37.33","36.83","80.53M","0.87%"
"2017-7-13","36.94","36.38","37.12","36.36","100.80M","1.37%"
"2017-7-12","36.44","36.47","36.55","36.20","99.54M","0.16%"
"2017-7-11","36.38","36.18","36.46","36.09","79.13M","0.30%"
"2017-7-10","36.27","36.03","36.49","35.84","84.36M","0.61%"
"2017-7-7","36.05","35.73","36.19","35.73","76.81M","1.04%"
"2017-7-6","35.68","35.76","35.88","35.60","96.52M","-0.94%"
"2017-7-5","36.02","35.92","36.20","35.68","86.28M","0.39%"
"2017-7-3","35.88","36.22","36.33","35.77","57.11M","-0.36%"
"2017-6-30","36.01","36.11","36.24","35.95","92.10M","0.25%"
"2017-6-29","35.92","36.18","36.28","35.57","126.00M","-1.48%"
"2017-6-28","36.46","36.12","36.53","35.79","88.33M","1.48%"
"2017-6-27","35.93","36.25","36.54","35.91","99.05M","-1.43%"
"2017-6-26","36.45","36.79","37.07","36.34","102.77M","-0.33%"
"2017-6-23","36.57","36.28","36.79","36.28","141.76M","0.44%"
"2017-6-22","36.41","36.44","36.67","36.28","76.43M","-0.16%"
"2017-6-21","36.47","36.38","36.52","36.15","85.06M","0.61%"
"2017-6-20","36.25","36.72","36.72","36.23","99.60M","-0.93%"
"2017-6-19","36.59","35.91","36.69","35.91","130.17M","2.87%"
"2017-6-16","35.57","35.95","36.12","35.55","201.44M","-1.39%"
"2017-6-15","36.07","35.83","36.12","35.55","128.66M","-0.61%"
"2017-6-14","36.29","36.88","36.88","35.96","126.12M","-0.98%"
"2017-6-13","36.65","36.79","36.86","36.29","136.66M","0.83%"
"2017-6-12","36.35","36.44","36.52","35.63","289.23M","-2.39%"
"2017-6-9","37.24","38.80","38.80","36.51","259.53M","-3.90%"
"2017-6-8","38.75","38.81","38.88","38.60","85.00M","-0.23%"
"2017-6-7","38.84","38.76","38.99","38.62","84.28M","0.60%"
"2017-6-6","38.61","38.48","38.95","38.45","106.50M","0.34%"
"2017-6-5","38.48","38.59","38.61","38.37","101.33M","-0.98%"
"2017-6-2","38.86","38.40","38.86","38.22","111.08M","1.46%"
"2017-6-1","38.30","38.29","38.33","38.05","65.62M","0.29%"
"2017-5-31","38.19","38.49","38.54","38.09","97.80M","-0.60%"
"2017-5-30","38.42","38.35","38.61","38.33","80.51M","0.05%"
"2017-5-26","38.40","38.50","38.56","38.33","87.71M","-0.18%"
"2017-5-25","38.47","38.43","38.59","38.26","76.94M","0.34%"
"2017-5-24","38.34","38.46","38.54","38.17","76.88M","-0.29%"
"2017-5-23","38.45","38.73","38.73","38.33","79.68M","-0.13%"
"2017-5-22","38.50","38.50","38.65","38.23","91.87M","0.60%"
"2017-5-19","38.27","38.34","38.49","38.16","107.84M","0.37%"
"2017-5-18","38.13","37.82","38.34","37.78","134.27M","1.52%"
"2017-5-17","37.56","38.40","38.64","37.43","203.07M","-3.37%"
"2017-5-16","38.87","38.98","39.02","38.68","80.19M","-0.13%"
"2017-5-15","38.92","39.00","39.16","38.76","104.04M","-0.26%"
"2017-5-12","39.02","38.67","39.10","38.67","130.11M","1.38%"
"2017-5-11","38.49","38.11","38.52","38.08","109.02M","0.47%"
"2017-5-10","38.31","38.41","38.48","38.03","103.22M","-0.49%"
"2017-5-9","38.50","38.47","38.72","38.36","156.52M","0.65%"
"2017-5-8","38.25","37.26","38.42","37.26","195.01M","2.71%"
"2017-5-5","37.24","36.69","37.24","36.69","109.31M","1.67%"
"2017-5-4","36.63","36.63","36.78","36.45","93.49M","-0.38%"
"2017-5-3","36.77","36.40","36.87","36.07","182.79M","-0.30%"
"2017-5-2","36.88","36.88","37.02","36.71","181.41M","0.63%"
"2017-5-1","36.65","36.27","36.80","36.24","134.41M","2.06%"
"2017-4-28","35.91","36.02","36.08","35.82","83.44M","-0.11%"
"2017-4-27","35.95","35.98","36.04","35.83","56.99M","0.08%"
"2017-4-26","35.92","36.12","36.15","35.84","80.16M","-0.58%"
"2017-4-25","36.13","35.98","36.23","35.97","75.49M","0.61%"
"2017-4-24","35.91","35.88","35.99","35.80","68.54M","0.96%"
"2017-4-21","35.57","35.61","35.67","35.46","69.28M","-0.11%"
"2017-4-20","35.61","35.30","35.73","35.29","93.28M","1.25%"
"2017-4-19","35.17","35.47","35.50","35.11","69.31M","-0.37%"
"2017-4-18","35.30","35.35","35.51","35.28","58.79M","-0.45%"
"2017-4-17","35.46","35.37","35.47","35.22","66.33M","0.57%"
"2017-4-13","35.26","35.48","35.59","35.26","71.29M","-0.54%"
"2017-4-12","35.45","35.40","35.54","35.25","81.40M","0.11%"
"2017-4-11","35.41","35.73","35.84","35.02","121.52M","-1.06%"
"2017-4-10","35.79","35.90","35.97","35.73","75.73M","-0.14%"
"2017-4-7","35.84","35.93","36.05","35.82","66.69M","-0.19%"
"2017-4-6","35.91","36.07","36.13","35.86","84.60M","-0.28%"
"2017-4-5","36.01","36.05","36.37","35.95","110.87M","-0.50%"
"2017-4-4","36.19","35.81","36.22","35.79","79.57M","0.75%"
"2017-4-3","35.92","35.93","36.03","35.76","79.94M","0.03%"
"2017-3-31","35.91","35.93","36.07","35.75","78.65M","-0.19%"
"2017-3-30","35.98","36.05","36.12","35.88","84.83M","-0.14%"
"2017-3-29","36.03","35.92","36.12","35.80","116.76M","0.22%"
"2017-3-28","35.95","35.23","36.01","35.16","133.50M","2.07%"
"2017-3-27","35.22","34.85","35.30","34.66","94.30M","0.17%"
"2017-3-24","35.16","35.38","35.44","35.09","89.58M","-0.20%"
"2017-3-23","35.23","35.31","35.40","35.15","81.39M","-0.34%"
"2017-3-22","35.35","34.96","35.40","34.94","103.44M","1.12%"
"2017-3-21","34.96","35.53","35.70","34.93","158.12M","-1.16%"
"2017-3-20","35.37","35.10","35.38","35.06","86.17M","1.06%"
"2017-3-17","35.00","35.25","35.25","34.97","175.54M","-0.48%"
"2017-3-16","35.17","35.18","35.26","35.06","76.93M","0.14%"
"2017-3-15","35.12","34.85","35.19","34.76","102.77M","1.06%"
"2017-3-14","34.75","34.83","34.91","34.71","61.24M","-0.14%"
"2017-3-13","34.80","34.71","34.86","34.70","69.69M","0.06%"
"2017-3-10","34.78","34.81","34.84","34.66","78.45M","0.32%"
"2017-3-9","34.67","34.69","34.70","34.26","88.62M","-0.23%"
"2017-3-8","34.75","34.74","34.95","34.70","74.83M","-0.37%"
"2017-3-7","34.88","34.77","34.99","34.70","69.79M","0.11%"
"2017-3-6","34.84","34.84","34.94","34.65","87.00M","-0.31%"
"2017-3-3","34.95","34.70","34.96","34.65","86.28M","0.60%"
"2017-3-2","34.74","35.00","35.07","34.69","104.84M","-0.60%"
"2017-3-1","34.95","34.47","35.04","34.40","145.66M","2.04%"
"2017-2-28","34.25","34.27","34.36","34.17","93.93M","0.06%"
"2017-2-27","34.23","34.28","34.36","34.07","81.03M","0.20%"
"2017-2-24","34.16","33.98","34.16","33.82","87.11M","0.09%"
"2017-2-23","34.13","34.34","34.37","34.08","83.15M","-0.44%"
"2017-2-22","34.28","34.11","34.28","34.03","83.35M","0.32%"
"2017-2-21","34.17","34.06","34.19","33.99","98.03M","0.71%"
"2017-2-17","33.93","33.77","33.96","33.77","88.79M","0.27%"
"2017-2-16","33.84","33.92","33.98","33.71","90.34M","-0.12%"
"2017-2-15","33.88","33.88","34.07","33.66","142.49M","0.36%"
"2017-2-14","33.76","33.37","33.77","33.31","132.90M","1.32%"
"2017-2-13","33.32","33.27","33.45","33.19","92.14M","0.88%"
